schema,problem_id,eq1_id,eq2_id,dataset_partition,paper_dataset,provenance_sources,family,profile,profile_role,generation_status,solver_elapsed_seconds,process_tree_peak_rss_bytes,memory_limit_bytes,judge_status,judge_elapsed_seconds,certificate_path,certificate_bytes,certificate_sha256
unrestricted-search-public-result-v1,alps4141::alps_2680c44cda1f_to_Equation2,9000502,2,generalization_4057,alps4141,alps4141,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,1.125,22188032,2097152000,accepted,0.234,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E9000502_to_E2__46f8e6e82a0c.lean,11591,46f8e6e82a0c0d64d8abf8a70b3509502ebf35d3889ec6013f145c63ac8575c8
unrestricted-search-public-result-v1,alps4141::alps_59bee21f0bc6_to_Equation2,9001262,2,generalization_4057,alps4141,alps4141,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,1.14,25202688,2097152000,accepted,0.265,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E9001262_to_E2__b545ec5597fd.lean,12656,b545ec5597fd31a618c100b25316fe7bb460daff6fe1af82429948ab4d080f78
unrestricted-search-public-result-v1,alps4141::alps_b44f282f7e94_to_Equation2,9000548,2,generalization_4057,alps4141,alps4141,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,1.172,25071616,2097152000,accepted,0.25,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E9000548_to_E2__a0f21f6e22f9.lean,16614,a0f21f6e22f951e003ec6bf1ad6014d3d3f032a5e2632a91fe8bb8fb643ae110
unrestricted-search-public-result-v1,austin96::order5_austin_unknown_E19966_to_E2,19966,2,order5_130,austin96,alps4141+austin96,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,1.734,25169920,2097152000,accepted,0.235,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E19966_to_E2__0e1e14dbed48.lean,20357,0e1e14dbed48b5fbabbb690d21d7186cd004b253df08706a34b75cd38d984419
unrestricted-search-public-result-v1,austin96::order5_austin_unknown_E26105_to_E2,26105,2,order5_130,austin96,alps4141+austin96,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,1.437,25366528,2097152000,accepted,0.25,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E26105_to_E2__a146e099576e.lean,20361,a146e099576e34f204424c21705d50b6597e85707d83c0122a6b1551aca6a069
unrestricted-search-public-result-v1,generality34::order5_known_austin10_E15535_to_E2,15535,2,order5_130,generality34,generality34,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,1.343,25321472,2097152000,accepted,0.281,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E15535_to_E2__000c038e1f3e.lean,21268,000c038e1f3e388f151c485e3d81a8320f375822ed19c7016d9010002fa2e058
unrestricted-search-public-result-v1,generality34::order5_known_austin10_E17522_to_E2,17522,2,order5_130,generality34,generality34,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,0.375,22167552,2097152000,accepted,0.203,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E17522_to_E2__5653c0f6156f.lean,9035,5653c0f6156f621dac54a415f055fb4ad8a7cca09072dbbd7d97326a6a4db765
unrestricted-search-public-result-v1,generality34::order5_known_austin10_E20034_to_E2,20034,2,order5_130,generality34,generality34,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,1.297,25640960,2097152000,accepted,0.156,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E20034_to_E2__ccd1462a252f.lean,7555,ccd1462a252ff895beb2022827311256f8aca1ebd3216ca2e5da6d8ec9239f45
unrestricted-search-public-result-v1,generality34::order5_known_austin10_E22455_to_E2,22455,2,order5_130,generality34,generality34,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,1.109,21999616,2097152000,accepted,0.156,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E22455_to_E2__161b6dca1c8a.lean,8833,161b6dca1c8ab85d567db46f8ef56aae936c4e9e6b7eb5430abca2e596fcf3b7
unrestricted-search-public-result-v1,generality34::order5_known_austin10_E22818_to_E2,22818,2,order5_130,generality34,generality34,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,1.235,22167552,2097152000,accepted,0.156,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E22818_to_E2__8bddd7c1a6a5.lean,8829,8bddd7c1a6a58ae72d379463b7045fa1c7d4fa46b51b5034b4f1d23ddc1aaa30
unrestricted-search-public-result-v1,generality34::order5_known_austin10_E25964_to_E2,25964,2,order5_130,generality34,generality34,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,0.468,22122496,2097152000,accepted,0.141,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E25964_to_E2__4e880ecb9a12.lean,7555,4e880ecb9a123042c98b2760e78acade25140ec19f2b266f06fa4dec22a5f229
unrestricted-search-public-result-v1,generality34::order5_known_austin10_E28770_to_E2,28770,2,order5_130,generality34,generality34,cnf,cnf_nf16_reverse_ties_completed_first_sound_v3,supplemental_historical_hit_regression_nf16,generated,1.109,21983232,2097152000,accepted,0.125,results/certificates/cnf_nf16_reverse_ties_completed_first_sound_v3/E28770_to_E2__5bf1357b80e9.lean,9039,5bf1357b80e910b9fdfbafc19d0ee6387dff9128014225808c05c32bcb9adf7b
